mapping,engine,run,elapsed_time,kernel_mode,user_mode,memory_max,memory_average,number_results
gtfs-xml,SDM-RDFizer,1,314.47,4.38,309.92,3483484,0,3959530
gtfs-xml,SDM-RDFizer,2,347.85,4.06,343.73,3253108,0,3959530
,,,,,,,,
gtfs-json,SDM-RDFizer,0,359.21,3.45,355.68,2461596,0,3959530
gtfs-json,SDM-RDFizer,1,363.84,3.38,360.34,2392808,0,3959530
gtfs-json,SDM-RDFizer,2,365.92,3.3,362.53,2314800,0,3959530
,,,,,,,,
gtfs-custom,SDM-RDFizer,0,380.07,4.05,375.79,2611484,0,3959530
gtfs-custom,SDM-RDFizer,1,375.81,3.87,371.73,2604312,0,3959530
gtfs-custom,SDM-RDFizer,2,374.8,3.49,370.9,2709560,0,3959530
,,,,,,,,
gtfs-json,Chimera,0,2206.48,1077.26,3319.21,15568260,0,3959530
gtfs-json,Chimera,1,2052.98,1006.35,3149.46,14436072,0,3959530
gtfs-json,Chimera,2,2145.34,1028.35,3302.3,14457380,0,3959530
,,,,,,,,
gtfs-xml,Chimera,0,574.09,20.13,2250.54,17484824,0,3959530
gtfs-xml,Chimera,1,576.73,17.89,2259,17062952,0,3959530
gtfs-xml,Chimera,2,576.17,18.06,2258.95,17729384,0,3959530
,,,,,,,,
gtfs-csv,Chimera,0,202.78,27.87,725.72,17475872,0,3959530
gtfs-csv,Chimera,1,203.24,17.11,743.37,15933032,0,3959530
gtfs-csv,Chimera,2,203.42,19.02,745.04,16237816,0,3959530
,,,,,,,,
gtfs-custom,Chimera,0,1375.66,628.45,2339.9,17770100,0,3959530
gtfs-custom,Chimera,1,1646.42,760.39,2486.93,15555980,0,3959530
gtfs-custom,Chimera,2,1434.44,660.52,2416.57,16611484,0,3959530
,,,,,,,,
gtfs-csv,carml,0,970.07,59.47,1229.83,13402068,0,3959530
gtfs-csv,carml,1,909.22,48.13,1171.56,13462464,0,3959530
gtfs-csv,carml,2,915.8,51.16,1184.19,13409676,0,3959530
,,,,,,,,
gtfs-json,carml,0,2331.29,28.42,2777.82,11522540,0,3976220
gtfs-json,carml,1,2309.28,31.17,2737.19,11762156,0,3976220
gtfs-json,carml,2,2354.62,33,2792.34,11683472,0,3976220
,,,,,,,,
gtfs-xml,carml,0,7899.13,118.9,8300.08,12265164,0,3959530
gtfs-xml,carml,1,7862.25,102.64,8209.84,11972464,0,3959530
gtfs-xml,carml,2,7903.54,130.05,8322.16,11847948,0,3959530
,,,,,,,,
gtfs-custom,carml,0,1706.97,36.73,2151.91,13716876,0,3959530
gtfs-custom,carml,1,1729.5,31.74,2201.36,14028800,0,3959530
gtfs-custom,carml,2,1790.07,31.35,2251.96,13841508,0,3959530
