mapping,engine,run,elapsed_time,kernel_mode,user_mode,memory_max,memory_average,number_results
,,,,,,,,
gtfs-csv,SDM-RDFizer,0,32.03,0.76,31.23,276068,0,395953
gtfs-csv,SDM-RDFizer,1,32.01,0.3,31.69,267012,0,395953
gtfs-csv,SDM-RDFizer,2,30.95,0.34,30.56,270556,0,395953
,,,,,,,,
gtfs-json,SDM-RDFizer,0,31.79,0.5,31.24,309964,0,395953
gtfs-json,SDM-RDFizer,1,31.76,0.41,31.33,299292,0,395953
gtfs-json,SDM-RDFizer,2,30.37,0.34,30.02,295548,0,395953
,,,,,,,,
gtfs-xml,SDM-RDFizer,0,15.82,0.49,15.27,359820,0,395953
gtfs-xml,SDM-RDFizer,1,15.7,0.46,15.18,348404,0,395953
gtfs-xml,SDM-RDFizer,2,15.78,0.55,15.18,448800,0,395953
,,,,,,,,
gtfs-custom,SDM-RDFizer,0,32.61,0.55,32.06,301488,0,395953
gtfs-custom,SDM-RDFizer,1,30.65,0.42,30.21,299252,0,395953
gtfs-custom,SDM-RDFizer,2,32.11,0.46,31.61,300224,0,395953
,,,,,,,,
gtfs-json,Chimera,0,33.7,13.88,95.58,4965068,0,
gtfs-json,Chimera,1,35.1,14.91,96,5621868,0,
gtfs-json,Chimera,2,35.15,15.17,90.68,4999340,0,
,,,,,,,,
gtfs-xml,Chimera,0,20.21,9.03,78.09,12153180,0,
gtfs-xml,Chimera,1,19.92,8.25,79.93,11310164,0,
gtfs-xml,Chimera,2,19.69,6.87,78.08,9885532,0,
,,,,,,,,
gtfs-csv,Chimera,0,13.74,3.42,59.18,4027360,0,
gtfs-csv,Chimera,1,13.98,3.78,58.2,4566644,0,
gtfs-csv,Chimera,2,14.13,3.81,59.16,4786736,0,
,,,,,,,,
gtfs-custom,Chimera,0,30.7,12.06,85.22,4172112,0,
gtfs-custom,Chimera,1,29.69,11.58,83.93,5309556,0,
gtfs-custom,Chimera,2,30.32,12.19,84.79,4983620,0,
,,,,,,,,
gtfs-csv,carml,0,35.43,14.31,46.21,10291192,0,
gtfs-csv,carml,1,32.37,11.38,45.17,10424572,0,
gtfs-csv,carml,2,33.01,11.62,45.55,10532680,0,
,,,,,,,,
gtfs-json,carml,0,38.48,8.1,43.46,9801728,0,
gtfs-json,carml,1,35.66,6.03,44.39,8864784,0,
gtfs-json,carml,2,36.97,5.87,46.18,8892468,0,
,,,,,,,,
gtfs-xml,carml,0,92.38,4.55,108.69,2299100,0,
gtfs-xml,carml,1,87.18,2.81,106.66,1598020,0, 
gtfs-xml,carml,2,95.4,2.72,114.19,1771692,0,
,,,,,,,,
gtfs-custom,carml,0,40.09,14.95,49.61,10927336,0,
gtfs-custom,carml,1,35.33,9.52,46.43,10779756,0,
gtfs-custom,carml,2,35.41,9.91,47.95,10816316,0,
